date,1#铜,A00铝,1#白银,铝合金ADC12,铸造铝合金锭(ZLD104)
2026-07-07,91552.937,20212.389,13463.118,20989.331,20539.827
2026-07-08,91583.761,20212.389,13450.333,21002.174,20539.827
2026-07-09,91614.595,20212.389,13437.879,21013.521,20539.827
2026-07-10,91645.440,20212.389,13425.748,21023.567,20539.827
2026-07-13,91676.295,20212.389,13413.932,21032.460,20539.827
2026-07-14,91707.160,20212.389,13402.421,21040.332,20539.827
2026-07-15,91738.036,20212.389,13391.208,21047.300,20539.827
2026-07-16,91768.922,20212.389,13380.285,21053.468,20539.827
2026-07-17,91799.819,20212.389,13369.644,21058.928,20539.827
2026-07-20,91830.726,20212.389,13359.277,21063.760,20539.827
2026-07-21,91861.643,20212.389,13349.178,21068.036,20539.827
2026-07-22,91892.571,20212.389,13339.339,21071.821,20539.827
2026-07-23,91923.509,20212.389,13329.753,21075.171,20539.827
2026-07-24,91954.458,20212.389,13320.414,21078.136,20539.827
2026-07-27,91985.417,20212.389,13311.316,21080.759,20539.827
2026-07-28,92016.386,20212.389,13302.450,21083.081,20539.827
2026-07-29,92047.366,20212.389,13293.813,21085.136,20539.827
2026-07-30,92078.357,20212.389,13285.397,21086.954,20539.827
2026-07-31,92109.357,20212.389,13277.197,21088.563,20539.827
2026-08-03,92140.369,20212.389,13269.208,21089.987,20539.827
2026-08-04,92171.390,20212.389,13261.423,21091.247,20539.827
2026-08-05,92202.422,20212.389,13253.837,21092.362,20539.827
2026-08-06,92233.465,20212.389,13246.445,21093.349,20539.827
